1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,15.8,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,29.8,0,0,9.5,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,-99,0,0,0,0,0,1.3,0,0,0,0,0,-99,12,0,0,0,0,0,0,0,3.2,0,-99,0,6.3,0,-99,0,0,0,-99,0,0,3.5,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,2.1,0,0,3,0,13,0,-99,3,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,3,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,2.8,0,4.8,0,0,14.2,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,9.8
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,30.6,0,6.8,0,0,16.2,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,23.2
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,26.8,0,10.4,0,0,0,-99,0,0,0,2.8,0,0,0,0,0,0,0,-99,19,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,14.4,-99,0,0,0,0,0,27.5
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.5,0,0,0,0,0,-99,4,0,0,0,0,1,0,0,0,0,0,-99,10,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,21.7,-99,0,0,0,0,0,13.5
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,4.6,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,5,0,0,0,7.8,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,1.5,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,2,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,8.3,-99,0,0,0,-99,0,0.6,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,22.8,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,13.5,0,-99,0,0,0,0.8,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.4,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,-99,0,2.5,0,0,0,0,0,0,19.8,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,6.4,0,2.2,0,0,0,3,47.6,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,-99,-99,0,0,0,-99,0,0,0,-99,0,0,0,10.3,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,-99,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,2,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,24.5,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,13.6,0,0,-99,0,0,0,0,0,5.3
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0.4,0,-99,0,0,0,-99,0,0,14,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,24.4,-99,-99,0,0,0,-99,0,0,18.5,-99,0,0,0,2.6,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,3.6,0,-99,-99,0,0,0,-99,0,0,16,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,5.6,0,0,-99,0,0,0,0,0,0,0,0,0,-99,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,31.8,0,0,0,0,0.5,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,6.5,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,7,0,1.5,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,1,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,4.5,0,0,-99,0,0,0,0,0,0
